Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
152000.0,2.0,1667.0,24.0,25.0,2008.0,69.0,41.0,14.0,Голосіївська,Голосіївський,14.0
92000.0,3.0,965.0,1.0,25.0,2010.0,69.0,48.0,16.0,Ясинуватський,Голосіївський,5.0
49387.4,1.0,881.9,8.0,19.0,2010.0,56.0,37.0,14.0,*** not found,Подільський,5.0
56500.0,1.0,1749.0,5.0,7.0,2019.0,69.0,21.0,5.0,Колоса,Подільський,43.0
80000.0,1.0,2105.0,11.0,21.0,2017.0,38.0,12.0,15.0,Правди,Подільський,11.0
480000.0,4.0,2609.0,5.0,6.0,1915.0,184.0,108.0,34.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",42.0
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,37.0,14.0,Голосіївський,Голосіївський,0.0
149632.1,1.0,3183.6,8.0,19.0,2010.0,47.0,37.0,14.0,*** not found,Дніпровський,-4.0
147075.0,2.0,2228.0,9.0,11.0,2010.0,66.0,37.0,14.0,Бойчука,Дніпровський,15.0
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,Дніпровський,29.0
97000.0,2.0,1260.0,16.0,22.0,2018.0,77.0,37.0,14.0,Ясинуватський,Голосіївський,26.0
55000.0,2.0,1222.0,13.0,16.0,1980.0,45.0,37.0,11.0,Райдужна,Дніпровський,-3.0
138000.0,2.0,1811.0,3.0,15.0,2014.0,69.0,37.0,14.0,Ломоносова,Голосіївський,18.0
105000.0,2.0,1504.0,4.0,25.0,2014.0,69.0,37.0,14.0,*** not found,Печерський,18.0
66016.1,1.0,1784.2,8.0,19.0,2010.0,37.0,37.0,14.0,*** not found,Печерський,-14.0
284000.0,2.0,2812.0,7.0,11.0,2004.0,101.0,37.0,14.0,Гусовського,Печерський,50.0
155000.0,3.0,1550.0,13.0,23.0,2006.0,100.0,37.0,14.0,Окіпної,Шевченківський,49.0
49899.0,1.0,1386.0,1.0,9.0,1978.0,36.0,18.0,7.0,Багговутівська,Шевченківський,11.0
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,Дружби Народів,Печерський,14.0
380000.0,3.0,3585.0,9.0,21.0,2019.0,106.0,37.0,14.0,Маккейна,Солом'янський,55.0
46000.0,2.0,913.0,1.0,4.0,2010.0,69.0,30.0,12.0,Маланюка,Солом'янський,27.0
