Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district
66016.1,1.0,1784.2,8.0,18.0,2009.0,37.0,37.0,14.0,0.0,Гусовського,Печерський
284000.0,2.0,2812.0,7.0,11.0,2004.0,101.0,37.0,14.0,50.0,Гусовського,Печерський
155000.0,3.0,1550.0,13.0,23.0,2006.0,100.0,37.0,14.0,49.0,Окіпної,Шевченківський
49899.0,1.0,1386.0,1.0,9.0,1978.0,36.0,18.0,7.0,11.0,Багговутівська,Шевченківський
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,14.0,Дружби Народів,Печерський
380000.0,3.0,3585.0,9.0,21.0,2019.0,106.0,37.0,14.0,55.0,Маккейна,Солом'янський
46000.0,2.0,913.0,1.0,4.0,2009.0,40.0,30.0,12.0,0.0,Маланюка,Солом'янський
60150.0,1.0,1504.0,21.0,26.0,2009.0,40.0,14.0,20.0,6.0,Михайла Котельникова,Солом'янський
185000.0,3.0,1745.0,8.0,25.0,2016.0,106.0,37.0,38.0,31.0,Героїв Севастополя,Солом'янський
81000.0,2.0,964.0,18.0,26.0,2020.0,84.0,37.0,17.0,30.0,Маланюка,Печерський
620000.0,3.0,4769.0,4.0,15.0,2017.0,130.0,66.0,16.0,48.0,Саперне Поле,Печерський
48700.0,1.0,991.0,19.0,25.0,2009.0,117.0,37.0,14.0,66.0,Балтійський,Оболонський
234000.0,3.0,2000.0,7.0,15.0,2009.0,117.0,76.0,12.0,29.0,Кудрявська,Шевченківський
135000.0,2.0,2523.0,28.0,34.0,2018.0,50.0,37.0,14.0,0.0,Перемоги,Шевченківський
130000.0,2.0,2600.0,1.0,5.0,1964.0,50.0,37.0,12.0,1.0,Німанська,Печерський
54100.0,1.0,1339.0,4.0,26.0,2018.0,79.0,37.0,14.0,28.0,Каховська,Дніпровський
239000.0,3.0,3025.0,3.0,7.0,1954.0,79.0,44.0,13.0,22.0,Малопідвальна,Шевченківський
140000.0,2.0,2188.0,10.0,14.0,2009.0,64.0,34.0,15.0,15.0,Невська,Святошинський
128000.0,2.0,2612.0,5.0,14.0,2015.0,49.0,14.0,17.0,18.0,Златоустівська,Святошинський
31000.0,1.0,1107.0,9.0,9.0,1986.0,28.0,13.0,6.0,9.0,Берковецька,Святошинський
41187.0,1.0,936.0,3.0,13.0,2009.0,44.0,19.0,11.0,14.0,Берковецька,Святошинський
120000.0,3.0,1188.0,11.0,16.0,1998.0,101.0,37.0,14.0,50.0,Бажана,"Голосіївський, Печерський"
740000.0,1.0,2772.0,20.0,24.0,2019.0,267.0,150.0,75.0,42.0,Антоновича,"Голосіївський, Печерський"
180000.0,3.0,2400.0,3.0,8.0,1990.0,75.0,41.0,9.0,25.0,Гречка,Дніпровський
63000.0,3.0,900.0,1.0,9.0,1973.0,70.0,41.0,8.0,21.0,Гречка,Дніпровський
126000.0,2.0,1658.0,15.0,32.0,2020.0,76.0,41.0,14.0,21.0,Микільсько-Слобідська,Дніпровський
80000.0,2.0,1067.0,6.0,26.0,2009.0,75.0,27.0,21.0,27.0,Правди,Подільський
98000.0,1.0,1750.0,8.0,18.0,2018.0,56.0,22.0,19.0,15.0,Тимошенка,Святошинський
150000.0,2.0,1807.0,16.0,23.0,2003.0,83.0,37.0,14.0,32.0,Павла Тичини,Святошинський
100000.0,3.0,1000.0,8.0,17.0,2003.0,100.0,64.0,14.0,22.0,Олевська,Святошинський
120000.0,3.0,1237.0,2.0,21.0,2016.0,97.0,52.0,20.0,25.0,Освіти,Солом'янський
41000.0,1.0,1464.0,9.0,9.0,1969.0,28.0,17.0,5.0,6.0,Іллєнка,Оболонський
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,32.0,Дніпровська,Оболонський
155000.0,3.0,1742.0,4.0,4.0,1917.0,89.0,37.0,13.0,39.0,Івана Мазепи,Дніпровський
90000.0,3.0,1286.0,5.0,16.0,1974.0,70.0,46.0,7.0,17.0,Українки,Дніпровський
132000.0,2.0,1347.0,1.0,6.0,2016.0,98.0,32.0,18.0,48.0,Данченка,Дніпровський
230000.0,2.0,4600.0,8.0,18.0,2009.0,50.0,37.0,14.0,0.0,Драгомирова,Дніпровський
185000.0,3.0,2011.0,18.0,25.0,2017.0,92.0,37.0,14.0,41.0,Тбіліський,Дніпровський
70500.0,2.0,1203.0,20.0,26.0,2020.0,113.0,28.0,14.0,71.0,Каховська,Дніпровський
87000.0,3.0,915.0,9.0,19.0,2019.0,113.0,52.0,14.0,47.0,Ушинського,Солом'янський
185000.0,3.0,1637.0,8.0,24.0,2007.0,113.0,37.0,14.0,62.0,Урлівська,Дарницький
49860.0,2.0,997.0,2.0,9.0,1974.0,50.0,30.0,6.0,14.0,Світлицького,Подільський
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,29.0,Дніпровська,Оболонський
90000.0,1.0,1800.0,3.0,25.0,2009.0,50.0,25.0,14.0,11.0,Липківського,Дніпровський
152000.0,2.0,1949.0,14.0,30.0,2020.0,78.0,37.0,12.0,29.0,Микільсько-Слобідська,Дніпровський
159900.0,3.0,1259.0,15.0,25.0,2007.0,127.0,77.0,14.0,36.0,Лобановського,Оболонський
280000.0,3.0,2137.0,8.0,9.0,2005.0,131.0,75.0,25.0,31.0,Героїв Сталінграда,Оболонський
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,18.0,Дніпровська,Оболонський
67000.0,2.0,1098.0,13.0,15.0,1994.0,61.0,31.0,9.0,21.0,Драгоманова,Дарницький
59000.0,1.0,1224.0,16.0,25.0,2010.0,90.0,37.0,14.0,39.0,Ахматової,Печерський
420000.0,2.0,4667.0,5.0,18.0,2017.0,90.0,37.0,14.0,39.0,Саперне Поле,Печерський
65000.0,2.0,1048.0,15.0,17.0,2018.0,62.0,34.0,12.0,16.0,Данченка,Голосіївський
